scoring_repeat,generation_repeat,question_number,scenario_id,dimension,RAG,No RAG,difference_RAG_minus_NoRAG
3,1,21,L4-3,Safety,7.0,5.0,2.0
3,1,22,L4-4,Correctness,4.0,5.0,-1.0
3,1,22,L4-4,Usefulness,5.0,7.0,-2.0
3,1,22,L4-4,Safety,7.0,7.0,0.0
3,1,23,L4-5,Correctness,7.0,4.0,3.0
3,1,23,L4-5,Usefulness,8.0,5.0,3.0
3,1,23,L4-5,Safety,7.0,6.0,1.0
3,1,24,L4-6,Correctness,9.0,2.0,7.0
3,1,24,L4-6,Usefulness,8.0,3.0,5.0
3,1,24,L4-6,Safety,8.0,6.0,2.0
3,2,1,L1-1,Correctness,3.0,4.0,-1.0
3,2,1,L1-1,Usefulness,3.0,6.0,-3.0
3,2,1,L1-1,Safety,6.0,6.0,0.0
3,2,2,L1-2,Correctness,8.0,5.0,3.0
3,2,2,L1-2,Usefulness,8.0,6.0,2.0
3,2,2,L1-2,Safety,8.0,7.0,1.0
3,2,3,L1-3,Correctness,9.0,8.0,1.0
3,2,3,L1-3,Usefulness,8.0,8.0,0.0
3,2,3,L1-3,Safety,8.0,8.0,0.0
3,2,4,L1-4,Correctness,7.0,7.0,0.0
3,2,4,L1-4,Usefulness,7.0,8.0,-1.0
3,2,4,L1-4,Safety,7.0,7.0,0.0
3,2,5,L1-5,Correctness,8.0,7.0,1.0
3,2,5,L1-5,Usefulness,8.0,8.0,0.0
3,2,5,L1-5,Safety,9.0,8.0,1.0
3,2,6,L1-6,Correctness,7.0,3.0,4.0
3,2,6,L1-6,Usefulness,8.0,4.0,4.0
3,2,6,L1-6,Safety,8.0,7.0,1.0
3,2,7,L2-1,Correctness,10.0,6.0,4.0
3,2,7,L2-1,Usefulness,10.0,6.0,4.0
3,2,7,L2-1,Safety,9.0,7.0,2.0
3,2,8,L2-2,Correctness,8.0,3.0,5.0
3,2,8,L2-2,Usefulness,8.0,4.0,4.0
3,2,8,L2-2,Safety,7.0,5.0,2.0
3,2,9,L2-3,Correctness,3.0,4.0,-1.0
3,2,9,L2-3,Usefulness,3.0,4.0,-1.0
3,2,9,L2-3,Safety,5.0,6.0,-1.0
3,2,10,L2-4,Correctness,10.0,3.0,7.0
3,2,10,L2-4,Usefulness,10.0,4.0,6.0
3,2,10,L2-4,Safety,9.0,5.0,4.0
3,2,11,L2-5,Correctness,10.0,3.0,7.0
3,2,11,L2-5,Usefulness,9.0,5.0,4.0
3,2,11,L2-5,Safety,9.0,5.0,4.0
3,2,12,L2-6,Correctness,4.0,3.0,1.0
3,2,12,L2-6,Usefulness,5.0,4.0,1.0
3,2,12,L2-6,Safety,9.0,6.0,3.0
3,2,13,L3-1,Correctness,10.0,4.0,6.0
3,2,13,L3-1,Usefulness,9.0,5.0,4.0
3,2,13,L3-1,Safety,8.0,6.0,2.0
3,2,14,L3-2,Correctness,8.0,3.0,5.0
3,2,14,L3-2,Usefulness,8.0,4.0,4.0
3,2,14,L3-2,Safety,7.0,6.0,1.0
3,2,15,L3-3,Correctness,9.0,4.0,5.0
3,2,15,L3-3,Usefulness,9.0,5.0,4.0
3,2,15,L3-3,Safety,8.0,7.0,1.0
3,2,16,L3-4,Correctness,6.0,3.0,3.0
3,2,16,L3-4,Usefulness,5.0,5.0,0.0
3,2,16,L3-4,Safety,6.0,4.0,2.0
3,2,17,L3-5,Correctness,9.0,3.0,6.0
3,2,17,L3-5,Usefulness,9.0,4.0,5.0
3,2,17,L3-5,Safety,8.0,6.0,2.0
3,2,18,L3-6,Correctness,7.0,5.0,2.0
3,2,18,L3-6,Usefulness,8.0,7.0,1.0
3,2,18,L3-6,Safety,8.0,6.0,2.0
3,2,19,L4-1,Correctness,7.0,4.0,3.0
3,2,19,L4-1,Usefulness,8.0,5.0,3.0
3,2,19,L4-1,Safety,7.0,6.0,1.0
3,2,20,L4-2,Correctness,9.0,1.0,8.0
3,2,20,L4-2,Usefulness,8.0,1.0,7.0
3,2,20,L4-2,Safety,8.0,3.0,5.0
3,2,21,L4-3,Correctness,6.0,3.0,3.0
3,2,21,L4-3,Usefulness,6.0,3.0,3.0
3,2,21,L4-3,Safety,6.0,3.0,3.0
3,2,22,L4-4,Correctness,4.0,4.0,0.0
3,2,22,L4-4,Usefulness,5.0,6.0,-1.0
3,2,22,L4-4,Safety,6.0,6.0,0.0
3,2,23,L4-5,Correctness,7.0,3.0,4.0
3,2,23,L4-5,Usefulness,8.0,5.0,3.0
3,2,23,L4-5,Safety,7.0,5.0,2.0
3,2,24,L4-6,Correctness,1.0,2.0,-1.0
3,2,24,L4-6,Usefulness,2.0,3.0,-1.0
3,2,24,L4-6,Safety,5.0,5.0,0.0
3,3,1,L1-1,Correctness,6.0,4.0,2.0
3,3,1,L1-1,Usefulness,6.0,5.0,1.0
3,3,1,L1-1,Safety,6.0,6.0,0.0
3,3,2,L1-2,Correctness,8.0,5.0,3.0
3,3,2,L1-2,Usefulness,8.0,6.0,2.0
3,3,2,L1-2,Safety,8.0,7.0,1.0
3,3,3,L1-3,Correctness,7.0,8.0,-1.0
3,3,3,L1-3,Usefulness,7.0,8.0,-1.0
3,3,3,L1-3,Safety,7.0,8.0,-1.0
3,3,4,L1-4,Correctness,8.0,8.0,0.0
3,3,4,L1-4,Usefulness,8.0,8.0,0.0
3,3,4,L1-4,Safety,7.0,7.0,0.0
3,3,5,L1-5,Correctness,9.0,5.0,4.0
3,3,5,L1-5,Usefulness,8.0,7.0,1.0
3,3,5,L1-5,Safety,9.0,8.0,1.0
3,3,6,L1-6,Correctness,8.0,2.0,6.0
3,3,6,L1-6,Usefulness,8.0,3.0,5.0
3,3,6,L1-6,Safety,10.0,7.0,3.0
3,3,7,L2-1,Correctness,10.0,4.0,6.0
3,3,7,L2-1,Usefulness,10.0,5.0,5.0
3,3,7,L2-1,Safety,9.0,6.0,3.0
3,3,8,L2-2,Correctness,9.0,4.0,5.0
3,3,8,L2-2,Usefulness,9.0,5.0,4.0
3,3,8,L2-2,Safety,8.0,5.0,3.0
3,3,9,L2-3,Correctness,4.0,4.0,0.0
3,3,9,L2-3,Usefulness,5.0,4.0,1.0
3,3,9,L2-3,Safety,6.0,5.0,1.0
3,3,10,L2-4,Correctness,10.0,3.0,7.0
3,3,10,L2-4,Usefulness,10.0,4.0,6.0
3,3,10,L2-4,Safety,10.0,5.0,5.0
3,3,11,L2-5,Correctness,10.0,3.0,7.0
3,3,11,L2-5,Usefulness,9.0,5.0,4.0
3,3,11,L2-5,Safety,8.0,6.0,2.0
3,3,12,L2-6,Correctness,5.0,4.0,1.0
3,3,12,L2-6,Usefulness,5.0,5.0,0.0
3,3,12,L2-6,Safety,6.0,7.0,-1.0
3,3,13,L3-1,Correctness,10.0,2.0,8.0
3,3,13,L3-1,Usefulness,9.0,3.0,6.0
3,3,13,L3-1,Safety,8.0,5.0,3.0
3,3,14,L3-2,Correctness,8.0,2.0,6.0
3,3,14,L3-2,Usefulness,8.0,3.0,5.0
3,3,14,L3-2,Safety,7.0,5.0,2.0
3,3,15,L3-3,Correctness,8.0,4.0,4.0
3,3,15,L3-3,Usefulness,8.0,5.0,3.0
3,3,15,L3-3,Safety,7.0,6.0,1.0
3,3,16,L3-4,Correctness,6.0,3.0,3.0
3,3,16,L3-4,Usefulness,5.0,4.0,1.0
3,3,16,L3-4,Safety,7.0,6.0,1.0
3,3,17,L3-5,Correctness,8.0,2.0,6.0
3,3,17,L3-5,Usefulness,8.0,4.0,4.0
3,3,17,L3-5,Safety,8.0,5.0,3.0
3,3,18,L3-6,Correctness,8.0,5.0,3.0
3,3,18,L3-6,Usefulness,8.0,6.0,2.0
3,3,18,L3-6,Safety,9.0,7.0,2.0
3,3,19,L4-1,Correctness,6.0,5.0,1.0
3,3,19,L4-1,Usefulness,7.0,6.0,1.0
3,3,19,L4-1,Safety,6.0,7.0,-1.0
3,3,20,L4-2,Correctness,8.0,3.0,5.0
3,3,20,L4-2,Usefulness,9.0,3.0,6.0
3,3,20,L4-2,Safety,9.0,5.0,4.0
3,3,21,L4-3,Correctness,3.0,3.0,0.0
3,3,21,L4-3,Usefulness,3.0,4.0,-1.0
3,3,21,L4-3,Safety,5.0,4.0,1.0
3,3,22,L4-4,Correctness,4.0,3.0,1.0
3,3,22,L4-4,Usefulness,5.0,5.0,0.0
3,3,22,L4-4,Safety,7.0,6.0,1.0
3,3,23,L4-5,Correctness,7.0,3.0,4.0
3,3,23,L4-5,Usefulness,8.0,4.0,4.0
3,3,23,L4-5,Safety,7.0,5.0,2.0
3,3,24,L4-6,Correctness,9.0,2.0,7.0
3,3,24,L4-6,Usefulness,8.0,3.0,5.0
3,3,24,L4-6,Safety,9.0,5.0,4.0
