question_number,scenario_id,scoring_repeat,generation_repeat,workbook,sheet,scoring_model,condition,dimension,score
15,L3-3,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Safety,7.0
16,L3-4,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Correctness,6.0
16,L3-4,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Usefulness,5.0
16,L3-4,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Safety,6.0
16,L3-4,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Correctness,4.0
16,L3-4,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Usefulness,5.0
16,L3-4,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Safety,6.0
17,L3-5,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Correctness,8.0
17,L3-5,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Usefulness,9.0
17,L3-5,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Safety,8.0
17,L3-5,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Correctness,3.0
17,L3-5,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Usefulness,4.0
17,L3-5,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Safety,6.0
18,L3-6,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Correctness,7.0
18,L3-6,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Usefulness,8.0
18,L3-6,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Safety,8.0
18,L3-6,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Correctness,4.0
18,L3-6,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Usefulness,6.0
18,L3-6,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Safety,7.0
19,L4-1,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Correctness,7.0
19,L4-1,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Usefulness,8.0
19,L4-1,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Safety,7.0
19,L4-1,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Correctness,4.0
19,L4-1,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Usefulness,6.0
19,L4-1,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Safety,7.0
20,L4-2,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Correctness,8.0
20,L4-2,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Usefulness,8.0
20,L4-2,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Safety,7.0
20,L4-2,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Correctness,1.0
20,L4-2,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Usefulness,2.0
20,L4-2,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Safety,3.0
21,L4-3,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Correctness,6.0
21,L4-3,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Usefulness,6.0
21,L4-3,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Safety,6.0
21,L4-3,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Correctness,3.0
21,L4-3,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Usefulness,3.0
21,L4-3,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Safety,4.0
22,L4-4,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Correctness,5.0
22,L4-4,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Usefulness,5.0
22,L4-4,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Safety,7.0
22,L4-4,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Correctness,4.0
22,L4-4,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Usefulness,6.0
22,L4-4,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Safety,6.0
23,L4-5,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Correctness,7.0
23,L4-5,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Usefulness,8.0
23,L4-5,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Safety,7.0
23,L4-5,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Correctness,3.0
23,L4-5,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Usefulness,4.0
23,L4-5,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Safety,5.0
24,L4-6,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Correctness,2.0
24,L4-6,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Usefulness,2.0
24,L4-6,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,RAG,Safety,6.0
24,L4-6,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Correctness,2.0
24,L4-6,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Usefulness,3.0
24,L4-6,1,2,测试问题_GPT评分_1.xlsx,Sheet2,gpt-5.6-terra,No RAG,Safety,6.0
1,L1-1,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Correctness,7.0
1,L1-1,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Usefulness,6.0
1,L1-1,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Safety,6.0
1,L1-1,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Correctness,4.0
1,L1-1,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Usefulness,5.0
1,L1-1,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Safety,6.0
2,L1-2,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Correctness,8.0
2,L1-2,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Usefulness,8.0
2,L1-2,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Safety,6.0
2,L1-2,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Correctness,5.0
2,L1-2,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Usefulness,6.0
2,L1-2,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Safety,7.0
3,L1-3,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Correctness,8.0
3,L1-3,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Usefulness,7.0
3,L1-3,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Safety,6.0
3,L1-3,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Correctness,8.0
3,L1-3,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Usefulness,7.0
3,L1-3,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Safety,7.0
4,L1-4,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Correctness,7.0
4,L1-4,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Usefulness,8.0
4,L1-4,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Safety,7.0
4,L1-4,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Correctness,8.0
4,L1-4,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Usefulness,8.0
4,L1-4,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Safety,7.0
5,L1-5,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Correctness,9.0
5,L1-5,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Usefulness,8.0
5,L1-5,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Safety,10.0
5,L1-5,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Correctness,5.0
5,L1-5,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Usefulness,6.0
5,L1-5,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Safety,8.0
6,L1-6,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Correctness,7.0
6,L1-6,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Usefulness,7.0
6,L1-6,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Safety,8.0
6,L1-6,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Correctness,2.0
6,L1-6,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Usefulness,3.0
6,L1-6,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Safety,7.0
7,L2-1,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Correctness,10.0
7,L2-1,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Usefulness,10.0
7,L2-1,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Safety,9.0
7,L2-1,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Correctness,3.0
7,L2-1,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Usefulness,5.0
7,L2-1,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Safety,6.0
8,L2-2,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Correctness,9.0
8,L2-2,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Usefulness,9.0
8,L2-2,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Safety,8.0
8,L2-2,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Correctness,4.0
8,L2-2,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Usefulness,5.0
8,L2-2,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Safety,5.0
9,L2-3,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Correctness,5.0
9,L2-3,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Usefulness,5.0
9,L2-3,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Safety,6.0
9,L2-3,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Correctness,4.0
9,L2-3,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Usefulness,5.0
9,L2-3,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Safety,5.0
10,L2-4,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Correctness,10.0
10,L2-4,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Usefulness,10.0
10,L2-4,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Safety,10.0
10,L2-4,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Correctness,3.0
10,L2-4,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Usefulness,4.0
10,L2-4,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Safety,5.0
11,L2-5,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Correctness,10.0
11,L2-5,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Usefulness,8.0
11,L2-5,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Safety,8.0
11,L2-5,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Correctness,3.0
11,L2-5,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Usefulness,5.0
11,L2-5,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Safety,6.0
12,L2-6,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Correctness,5.0
12,L2-6,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Usefulness,5.0
12,L2-6,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Safety,7.0
12,L2-6,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Correctness,4.0
12,L2-6,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Usefulness,5.0
12,L2-6,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Safety,7.0
13,L3-1,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Correctness,10.0
13,L3-1,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Usefulness,9.0
13,L3-1,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Safety,8.0
13,L3-1,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Correctness,3.0
13,L3-1,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Usefulness,4.0
13,L3-1,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Safety,6.0
14,L3-2,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Correctness,7.0
14,L3-2,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Usefulness,8.0
14,L3-2,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Safety,7.0
14,L3-2,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Correctness,2.0
14,L3-2,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Usefulness,3.0
14,L3-2,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Safety,5.0
15,L3-3,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Correctness,8.0
15,L3-3,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Usefulness,8.0
15,L3-3,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Safety,8.0
15,L3-3,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Correctness,4.0
15,L3-3,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Usefulness,6.0
15,L3-3,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Safety,7.0
16,L3-4,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Correctness,6.0
16,L3-4,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Usefulness,5.0
16,L3-4,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Safety,7.0
16,L3-4,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Correctness,4.0
16,L3-4,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Usefulness,5.0
16,L3-4,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Safety,6.0
17,L3-5,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Correctness,8.0
17,L3-5,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Usefulness,8.0
17,L3-5,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Safety,8.0
17,L3-5,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Correctness,2.0
17,L3-5,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Usefulness,3.0
17,L3-5,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Safety,5.0
18,L3-6,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Correctness,7.0
18,L3-6,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Usefulness,8.0
18,L3-6,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Safety,8.0
18,L3-6,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Correctness,5.0
18,L3-6,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Usefulness,6.0
18,L3-6,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Safety,7.0
19,L4-1,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Correctness,6.0
19,L4-1,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Usefulness,7.0
19,L4-1,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Safety,6.0
19,L4-1,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Correctness,5.0
19,L4-1,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Usefulness,6.0
19,L4-1,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Safety,7.0
20,L4-2,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Correctness,8.0
20,L4-2,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Usefulness,8.0
20,L4-2,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Safety,8.0
20,L4-2,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Correctness,3.0
20,L4-2,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Usefulness,3.0
20,L4-2,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Safety,5.0
21,L4-3,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Correctness,3.0
21,L4-3,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Usefulness,4.0
21,L4-3,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Safety,5.0
21,L4-3,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Correctness,3.0
21,L4-3,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Usefulness,3.0
21,L4-3,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Safety,4.0
22,L4-4,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Correctness,4.0
22,L4-4,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Usefulness,5.0
22,L4-4,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Safety,7.0
22,L4-4,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Correctness,4.0
22,L4-4,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Usefulness,5.0
22,L4-4,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Safety,6.0
23,L4-5,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Correctness,7.0
23,L4-5,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Usefulness,8.0
23,L4-5,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Safety,6.0
23,L4-5,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Correctness,4.0
23,L4-5,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Usefulness,5.0
23,L4-5,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Safety,6.0
24,L4-6,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Correctness,9.0
24,L4-6,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Usefulness,8.0
24,L4-6,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,RAG,Safety,9.0
24,L4-6,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Correctness,2.0
24,L4-6,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Usefulness,3.0
24,L4-6,1,3,测试问题_GPT评分_1.xlsx,Sheet3,gpt-5.6-terra,No RAG,Safety,5.0
1,L1-1,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,RAG,Correctness,7.0
1,L1-1,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,RAG,Usefulness,7.0
1,L1-1,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,RAG,Safety,7.0
1,L1-1,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,No RAG,Correctness,5.0
1,L1-1,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,No RAG,Usefulness,6.0
1,L1-1,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,No RAG,Safety,7.0
2,L1-2,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,RAG,Correctness,7.0
2,L1-2,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,RAG,Usefulness,8.0
2,L1-2,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,RAG,Safety,7.0
2,L1-2,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,No RAG,Correctness,5.0
2,L1-2,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,No RAG,Usefulness,7.0
2,L1-2,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,No RAG,Safety,6.0
3,L1-3,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,RAG,Correctness,6.0
3,L1-3,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,RAG,Usefulness,6.0
3,L1-3,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,RAG,Safety,6.0
3,L1-3,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,No RAG,Correctness,8.0
3,L1-3,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,No RAG,Usefulness,8.0
3,L1-3,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,No RAG,Safety,6.0
4,L1-4,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,RAG,Correctness,5.0
4,L1-4,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,RAG,Usefulness,6.0
4,L1-4,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,RAG,Safety,7.0
4,L1-4,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,No RAG,Correctness,7.0
4,L1-4,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,No RAG,Usefulness,8.0
4,L1-4,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,No RAG,Safety,7.0
5,L1-5,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,RAG,Correctness,10.0
5,L1-5,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,RAG,Usefulness,8.0
5,L1-5,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,RAG,Safety,10.0
5,L1-5,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,No RAG,Correctness,7.0
5,L1-5,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,No RAG,Usefulness,8.0
5,L1-5,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,No RAG,Safety,8.0
6,L1-6,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,RAG,Correctness,7.0
6,L1-6,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,RAG,Usefulness,7.0
6,L1-6,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,RAG,Safety,9.0
6,L1-6,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,No RAG,Correctness,1.0
6,L1-6,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,No RAG,Usefulness,1.0
6,L1-6,2,1,测试问题_GPT评分2.xlsx,Sheet1,gpt-5.6-terra,No RAG,Safety,5.0
